miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT733509,bta-miR-199a-5p,Bos taurus,HIF1A,281814,Bos taurus,Microarray//qRT-PCR,Functional MTI (Weak),27664382
MIRT733510,bta-miR-199a-5p,Bos taurus,JAG1,783681,Bos taurus,Microarray//qRT-PCR,Functional MTI (Weak),27664382
MIRT733511,bta-miR-199a-5p,Bos taurus,VEGFA,281572,Bos taurus,Microarray//qRT-PCR,Functional MTI (Weak),27664382
MIRT733512,bta-miR-150,Bos taurus,VEGFA,281572,Bos taurus,Microarray//qRT-PCR,Functional MTI (Weak),27664382
MIRT733515,bta-miR-378,Bos taurus,VEGFA,281572,Bos taurus,Microarray//qRT-PCR,Functional MTI (Weak),27664382
MIRT733516,bta-miR-155,Bos taurus,MSH2,533115,Bos taurus,Microarray//qRT-PCR,Functional MTI (Weak),27664382
MIRT734560,bta-miR-206,Bos taurus,LOC536229,536229,Bos taurus,Luciferase reporter assay,Functional MTI,26424132
MIRT734935,bta-miR-29a,Bos taurus,DNMT3A,359716,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734936,bta-miR-29b,Bos taurus,DNMT3A,359716,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734937,bta-miR-29c,Bos taurus,DNMT3A,359716,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734939,bta-miR-29a,Bos taurus,DNMT3B,353354,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734940,bta-miR-29b,Bos taurus,DNMT3B,353354,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734941,bta-miR-29c,Bos taurus,DNMT3B,353354,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT735254,bta-miR-26a,Bos taurus,PCK1,282855,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26725319
MIRT735507,bta-miR-128,Bos taurus,SP1,540741,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26833195
MIRT735528,bta-miR-378,Bos taurus,INCENP,507693,Bos taurus,Luciferase reporter assay,Functional MTI,27669152
