"miRTarBase ID","miRNA","Species (miRNA)","Target Gene","Target Gene (Entrez ID)","Species (Target Gene)","Experiments","Support Type","References (PMID)"
"MIRT733252","gga-miR-23b-5p","Gallus gallus","MAPRE1","419288","Gallus gallus","Immunofluorescence//Immunohistochemistry//qRT-PCR","Functional MTI (Weak)","26198058"
"MIRT733253","gga-miR-199-5p","Gallus gallus","MAPRE1","419288","Gallus gallus","Immunofluorescence//Immunohistochemistry//qRT-PCR","Functional MTI (Weak)","26198058"
"MIRT733254","gga-miR-199-5p","Gallus gallus","NFIA","396210","Gallus gallus","Immunofluorescence//Immunohistochemistry//qRT-PCR","Functional MTI (Weak)","26198058"
"MIRT733255","gga-miR-23b-5p","Gallus gallus","NFIA","396210","Gallus gallus","Immunofluorescence//Immunohistochemistry//qRT-PCR","Functional MTI (Weak)","26198058"
"MIRT733256","gga-miR-23b-5p","Gallus gallus","QKI","374204","Gallus gallus","Immunofluorescence//Immunohistochemistry//qRT-PCR","Functional MTI (Weak)","26198058"
"MIRT733257","gga-miR-199-5p","Gallus gallus","QKI","374204","Gallus gallus","Immunofluorescence//Immunohistochemistry//qRT-PCR","Functional MTI (Weak)","26198058"
"MIRT733258","gga-miR-199-5p","Gallus gallus","MIR4523","417583","Gallus gallus","Immunofluorescence//Immunohistochemistry//qRT-PCR","Functional MTI (Weak)","26198058"
"MIRT733259","gga-miR-23b-5p","Gallus gallus","MIR4523","417583","Gallus gallus","Immunofluorescence//Immunohistochemistry//qRT-PCR","Functional MTI (Weak)","26198058"
"MIRT733260","gga-miR-23b-5p","Gallus gallus","ZEB1","396029","Gallus gallus","Immunofluorescence//Immunohistochemistry//qRT-PCR","Functional MTI (Weak)","26198058"
"MIRT733261","gga-miR-199-5p","Gallus gallus","ZEB1","396029","Gallus gallus","Immunofluorescence//Immunohistochemistry//qRT-PCR","Functional MTI (Weak)","26198058"
"MIRT733628","gga-let-7a-5p","Gallus gallus","TGFBR1","374094","Gallus gallus","Luciferase reporter assay","Functional MTI","26297836"
"MIRT733629","gga-let-7a-5p","Gallus gallus","LIN28B","421786","Gallus gallus","Luciferase reporter assay","Functional MTI","26297836"
"MIRT733630","gga-let-7b","Gallus gallus","LIN28B","421786","Gallus gallus","Luciferase reporter assay","Functional MTI","26297836"
"MIRT733631","gga-let-7b","Gallus gallus","TGFBR1","374094","Gallus gallus","Luciferase reporter assay","Functional MTI","26297836"
"MIRT734101","gga-miR-16-5p","Gallus gallus","BCL2","396282","Gallus gallus","Luciferase reporter assay//Microarray//qRT-PCR//Western blot","Functional MTI","28258011"
"MIRT734102","gga-miR-16-5p","Gallus gallus","FOXO1","374231","Gallus gallus","Luciferase reporter assay//Microarray//qRT-PCR//Western blot","Functional MTI","28258011"
"MIRT734376","gga-miR-19a-3p","Gallus gallus","ZMYND11","420455","Gallus gallus","//Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","27683641"
"MIRT734378","gga-miR-146b-3p","Gallus gallus","GHR","408184","Gallus gallus","Luciferase reporter assay//qRT-PCR","Functional MTI","26193261"
"MIRT734434","gga-miR-23b-5p","Gallus gallus","IRF1","3659","Gallus gallus","Luciferase reporter assay//Next Generation Sequencing (NGS)//qRT-PCR//Western blot","Functional MTI","25980475"
"MIRT734620","gga-miR-33-5p","Gallus gallus","FTO","415718","Gallus gallus","Luciferase reporter assay//qRT-PCR","Functional MTI","24626192"
"MIRT734905","gga-miR-181a-5p","Gallus gallus","MYBL1","396158","Gallus gallus","Western blot","Functional MTI","26500265"
