miRNA,Target,Sum
hsa-let-7a-2-3p,TP53INP1,2
hsa-let-7a-3p,HAT1,2
hsa-let-7a-5p,AGO1,4
hsa-let-7a-5p,AMMECR1,2
hsa-let-7a-5p,APP,2
hsa-let-7a-5p,ARG2,3
hsa-let-7a-5p,AURKB,2
hsa-let-7a-5p,BCL2,3
hsa-let-7a-5p,CASP3,3
hsa-let-7a-5p,CASP8,2
hsa-let-7a-5p,CASP9,2
hsa-let-7a-5p,CCND2,4
hsa-let-7a-5p,CCR7,3
hsa-let-7a-5p,CDC34,2
hsa-let-7a-5p,CDK6,4
hsa-let-7a-5p,CDKN1A,2
hsa-let-7a-5p,DICER1,4
hsa-let-7a-5p,E2F1,2
hsa-let-7a-5p,E2F2,4
hsa-let-7a-5p,EGR3,2
hsa-let-7a-5p,EIF2C4,2
hsa-let-7a-5p,EWSR1,4
hsa-let-7a-5p,EZH2,4
hsa-let-7a-5p,FOXA1,2
hsa-let-7a-5p,HMGA1,5
hsa-let-7a-5p,HMGA2,5
hsa-let-7a-5p,HNRPDL,2
hsa-let-7a-5p,HRAS,4
hsa-let-7a-5p,IGF2,2
hsa-let-7a-5p,IGF2BP1,3
hsa-let-7a-5p,IL6,4
hsa-let-7a-5p,ITGB3,4
hsa-let-7a-5p,KRAS,5
hsa-let-7a-5p,LIN28A,3
hsa-let-7a-5p,lin-41,2
hsa-let-7a-5p,MEIS1,2
hsa-let-7a-5p,MYC,3
hsa-let-7a-5p,NDUFA4P1,2
hsa-let-7a-5p,NEFM,2
hsa-let-7a-5p,NF2,5
hsa-let-7a-5p,NFKB1,3
hsa-let-7a-5p,NKIRAS2,4
hsa-let-7a-5p,NR1I2,2
hsa-let-7a-5p,NRAS,4
hsa-let-7a-5p,PAK1,3
hsa-let-7a-5p,PRDM1,4
hsa-let-7a-5p,RAB40C,4
hsa-let-7a-5p,RAVER2,3
hsa-let-7a-5p,RRM2,4
hsa-let-7a-5p,SLC20A1,3
hsa-let-7a-5p,THBS1,3
hsa-let-7a-5p,TNFRSF10B,2
hsa-let-7a-5p,TRIM71,2
hsa-let-7a-5p,TRIM71,3
hsa-let-7a-5p,TUSC2,2
hsa-let-7a-5p,UHRF1,4
hsa-let-7a-5p,UHRF2,4
hsa-let-7a-5p,VDR,2
hsa-let-7a-5p,wech,2
hsa-let-7a-5p,ZFP36L1,2
hsa-let-7b-3p,CASP3,3
hsa-let-7b-3p,HAT1,2
hsa-let-7b-5p,AARSD1,2
hsa-let-7b-5p,ACACA,2
hsa-let-7b-5p,ACTG1,3
hsa-let-7b-5p,ACVR1,3
hsa-let-7b-5p,AGO1,4
hsa-let-7b-5p,AKAP8,3
hsa-let-7b-5p,AKT2,3
hsa-let-7b-5p,ALG3,2
hsa-let-7b-5p,ANAPC1,5
hsa-let-7b-5p,ARID3A,3
hsa-let-7b-5p,ARL15,2
hsa-let-7b-5p,ATAD3B,2
hsa-let-7b-5p,ATG9A,2
hsa-let-7b-5p,ATP2A2,2
hsa-let-7b-5p,ATP6V0A1,2
hsa-let-7b-5p,ATP6V1F,3
hsa-let-7b-5p,AURKA,2
hsa-let-7b-5p,AURKB,2
hsa-let-7b-5p,BAZ1B,2
hsa-let-7b-5p,BCL7A,3
hsa-let-7b-5p,BIRC6,2
hsa-let-7b-5p,C1orf27,2
hsa-let-7b-5p,C20orf72,2
hsa-let-7b-5p,C2orf18,2
hsa-let-7b-5p,CALCOCO2,2
hsa-let-7b-5p,CAPG,2
hsa-let-7b-5p,CARHSP1,2
hsa-let-7b-5p,CBFB,2
hsa-let-7b-5p,CCBL2,2
hsa-let-7b-5p,CCDC115,2
hsa-let-7b-5p,CCNA2,3
hsa-let-7b-5p,CCND1,6
hsa-let-7b-5p,CCND2,4
hsa-let-7b-5p,CCNF,3
hsa-let-7b-5p,CCNJ,2
hsa-let-7b-5p,CDC25A,5
hsa-let-7b-5p,CDC34,5
hsa-let-7b-5p,CDCA7,2
hsa-let-7b-5p,CDIPT,2
hsa-let-7b-5p,CDK6,4
hsa-let-7b-5p,CDKAL1,3
hsa-let-7b-5p,CHD3,2
hsa-let-7b-5p,CHD4,2
hsa-let-7b-5p,CHMP2A,2
hsa-let-7b-5p,CHPF2,2
hsa-let-7b-5p,CIAO1,2
hsa-let-7b-5p,CLUH,2
hsa-let-7b-5p,COIL,2
hsa-let-7b-5p,COL3A1,3
hsa-let-7b-5p,COMMD9,2
hsa-let-7b-5p,CPEB1,3
hsa-let-7b-5p,CPEB3,3
hsa-let-7b-5p,CPEB4,3
hsa-let-7b-5p,CPED1,2
hsa-let-7b-5p,CSNK1D,2
hsa-let-7b-5p,CTHRC1,3
hsa-let-7b-5p,CTPS1,2
hsa-let-7b-5p,CYP2J2,3
hsa-let-7b-5p,DCTPP1,2
hsa-let-7b-5p,DHX57,3
hsa-let-7b-5p,DIAPH1,2
hsa-let-7b-5p,DLC1,2
hsa-let-7b-5p,DMD,2
hsa-let-7b-5p,DOCK5,2
hsa-let-7b-5p,DSP,3
hsa-let-7b-5p,DUSP12,2
hsa-let-7b-5p,DUSP23,2
hsa-let-7b-5p,DZIP1,2
hsa-let-7b-5p,E2F5,2
hsa-let-7b-5p,E2F6,3
hsa-let-7b-5p,EDEM3,3
hsa-let-7b-5p,EIF2C3,2
hsa-let-7b-5p,EIF4G2,2
hsa-let-7b-5p,ERC1,2
hsa-let-7b-5p,FADS2,3
hsa-let-7b-5p,FAM105A,3
hsa-let-7b-5p,FAM203A,2
hsa-let-7b-5p,FAM96A,2
hsa-let-7b-5p,FARP1,2
hsa-let-7b-5p,FLAD1,2
hsa-let-7b-5p,FNDC3A,3
hsa-let-7b-5p,GDE1,2
hsa-let-7b-5p,GEMIN7,2
hsa-let-7b-5p,GGCT,2
hsa-let-7b-5p,GLO1,2
hsa-let-7b-5p,GPR56,2
hsa-let-7b-5p,GPX7,2
hsa-let-7b-5p,GRPEL2,3
hsa-let-7b-5p,GSR,2
hsa-let-7b-5p,GTF2I,2
hsa-let-7b-5p,GTPBP3,2
hsa-let-7b-5p,GYS1,2
hsa-let-7b-5p,GZF1,2
hsa-let-7b-5p,HMGA1,7
hsa-let-7b-5p,HMGA2,5
hsa-let-7b-5p,HNRPDL,2
hsa-let-7b-5p,HRAS,2
hsa-let-7b-5p,IFIT5,2
hsa-let-7b-5p,IFNB1,3
hsa-let-7b-5p,IFRD1,2
hsa-let-7b-5p,IGF1R,4
hsa-let-7b-5p,IGF2BP1,6
hsa-let-7b-5p,IGF2BP2,5
hsa-let-7b-5p,IGF2BP3,2
hsa-let-7b-5p,INTS7,2
hsa-let-7b-5p,IPO4,3
hsa-let-7b-5p,IRS2,4
hsa-let-7b-5p,LIN28A,2
hsa-let-7b-5p,LIN28B,3
hsa-let-7b-5p,LRIG1,3
hsa-let-7b-5p,MAP7D1,2
hsa-let-7b-5p,MLLT1,2
hsa-let-7b-5p,MMS22L,2
hsa-let-7b-5p,MRM1,2
hsa-let-7b-5p,MRPS24,2
hsa-let-7b-5p,MRPS33,2
hsa-let-7b-5p,MTRR,2
hsa-let-7b-5p,NAA25,2
hsa-let-7b-5p,NAA40,2
hsa-let-7b-5p,NCAPG2,2
hsa-let-7b-5p,NDUFA4P1,2
hsa-let-7b-5p,NEDD4,2
hsa-let-7b-5p,NR2E1,3
hsa-let-7b-5p,NRAS,3
hsa-let-7b-5p,NUDT19,2
hsa-let-7b-5p,NUP155,2
hsa-let-7b-5p,NUP214,2
hsa-let-7b-5p,NXN,2
hsa-let-7b-5p,NXT2,2
hsa-let-7b-5p,PDCD11,2
hsa-let-7b-5p,PDE12,3
hsa-let-7b-5p,PDGFRA,4
hsa-let-7b-5p,PEX11B,2
hsa-let-7b-5p,PGRMC1,3
hsa-let-7b-5p,PLAGL2,3
hsa-let-7b-5p,POLD2,2
hsa-let-7b-5p,POLR2C,2
hsa-let-7b-5p,POM121,3
hsa-let-7b-5p,PPP1R7,2
hsa-let-7b-5p,PRDM1,4
hsa-let-7b-5p,PRIM1,2
hsa-let-7b-5p,PRRC2A,3
hsa-let-7b-5p,PSME3,2
hsa-let-7b-5p,PTGS2,2
hsa-let-7b-5p,PUM1,2
hsa-let-7b-5p,PXDN,2
hsa-let-7b-5p,RBFOX2,2
hsa-let-7b-5p,RBM12B,2
hsa-let-7b-5p,RBM19,2
hsa-let-7b-5p,RCAN1,2
hsa-let-7b-5p,RDH10,3
hsa-let-7b-5p,RDX,2
hsa-let-7b-5p,RHOB,2
hsa-let-7b-5p,RHOG,2
hsa-let-7b-5p,RPIA,2
hsa-let-7b-5p,RPP38,2
hsa-let-7b-5p,RRM2,3
hsa-let-7b-5p,RRP1B,2
hsa-let-7b-5p,RRP8,2
hsa-let-7b-5p,RTCA,2
hsa-let-7b-5p,SCAMP3,2
hsa-let-7b-5p,SCD,2
hsa-let-7b-5p,SCYL1,2
hsa-let-7b-5p,SIGMAR1,3
hsa-let-7b-5p,SLC1A4,2
hsa-let-7b-5p,SLC25A13,3
hsa-let-7b-5p,SLC25A24,2
hsa-let-7b-5p,SLC25A32,2
hsa-let-7b-5p,SMARCA4,2
hsa-let-7b-5p,SMARCD1,2
hsa-let-7b-5p,SNAP23,2
hsa-let-7b-5p,SOX9,2
hsa-let-7b-5p,SPCS3,2
hsa-let-7b-5p,SPRYD4,2
hsa-let-7b-5p,SYNGR2,2
hsa-let-7b-5p,TAB2,3
hsa-let-7b-5p,TAF9B,2
hsa-let-7b-5p,TGFBR1,2
hsa-let-7b-5p,THBS1,3
hsa-let-7b-5p,TMED5,2
hsa-let-7b-5p,TMEM2,2
hsa-let-7b-5p,TMEM201,2
hsa-let-7b-5p,TMTC3,2
hsa-let-7b-5p,TNFRSF10B,2
hsa-let-7b-5p,TRABD,3
hsa-let-7b-5p,TRIM24,2
hsa-let-7b-5p,TRMT1,2
hsa-let-7b-5p,TTC9C,2
hsa-let-7b-5p,TYMS,2
hsa-let-7b-5p,UBAP2L,2
hsa-let-7b-5p,UGT8,2
hsa-let-7b-5p,UHRF1,2
hsa-let-7b-5p,VPS39,2
hsa-let-7b-5p,YAP1,2
hsa-let-7b-5p,ZADH2,2
hsa-let-7c-3p,SMC3,2
hsa-let-7c-5p,AGO1,4
hsa-let-7c-5p,BCL2L1,4
hsa-let-7c-5p,DICER1,2
hsa-let-7c-5p,HMGA2,6
hsa-let-7c-5p,IGF1R,4
hsa-let-7c-5p,IL10,2
hsa-let-7c-5p,IL6,2
hsa-let-7c-5p,ITGB3,3
hsa-let-7c-5p,MAP4K3,3
hsa-let-7c-5p,MYC,3
hsa-let-7c-5p,NDUFA4P1,2
hsa-let-7c-5p,NRAS,4
hsa-let-7c-5p,NUMB,3
hsa-let-7c-5p,PBX2,3
hsa-let-7c-5p,TGFBR1,4
hsa-let-7c-5p,TNFRSF10B,2
hsa-let-7c-5p,TRIB2,3
hsa-let-7c-5p,TRIM71,3
hsa-let-7d-3p,SNRPD3,2
hsa-let-7d-5p,APP,2
hsa-let-7d-5p,DICER1,3
hsa-let-7d-5p,EIF2C1,3
hsa-let-7d-5p,EIF4G2,2
hsa-let-7d-5p,HMGA2,5
hsa-let-7d-5p,IL13,2
hsa-let-7d-5p,NDUFA4P1,2
hsa-let-7d-5p,PDGFA,3
hsa-let-7d-5p,SLC11A2,5
hsa-let-7d-5p,TNFRSF10B,2
hsa-let-7e-3p,MSANTD3,2
hsa-let-7e-5p,AGO1,4
hsa-let-7e-5p,AURKB,4
hsa-let-7e-5p,CCND1,4
hsa-let-7e-5p,EIF3J,2
hsa-let-7e-5p,EZH2,2
hsa-let-7e-5p,HMGA2,4
hsa-let-7e-5p,IGF1,3
hsa-let-7e-5p,IGF1R,4
hsa-let-7e-5p,LIN28A,4
hsa-let-7e-5p,MMP9,3
hsa-let-7e-5p,MYCN,4
hsa-let-7e-5p,NDUFA4P1,2
hsa-let-7e-5p,SMC1A,3
hsa-let-7e-5p,TNFRSF10B,2
hsa-let-7e-5p,WNT1,4
hsa-let-7f-1-3p,HAT1,2
hsa-let-7f-2-3p,HAT1,2
hsa-let-7f-5p,CCND1,3
hsa-let-7f-5p,CDKN1A,2
hsa-let-7f-5p,EIF2C1,3
hsa-let-7f-5p,IL13,2
hsa-let-7f-5p,KLK10,3
hsa-let-7f-5p,KLK6,3
hsa-let-7f-5p,MYH9,3
hsa-let-7f-5p,NDUFA4P1,2
hsa-let-7f-5p,PRDM1,4
hsa-let-7g-3p,TP53INP1,2
hsa-let-7g-5p,AGO1,4
hsa-let-7g-5p,AKT2,3
hsa-let-7g-5p,BCL2L1,4
hsa-let-7g-5p,BMI1,2
hsa-let-7g-5p,CASP3,2
hsa-let-7g-5p,CDKN2A,4
hsa-let-7g-5p,COL1A2,4
hsa-let-7g-5p,EIF4G2,2
hsa-let-7g-5p,FN1,3
hsa-let-7g-5p,GAB2,3
hsa-let-7g-5p,HMGA2,5
hsa-let-7g-5p,IGF2BP1,5
hsa-let-7g-5p,IL13,2
hsa-let-7g-5p,KRAS,2
hsa-let-7g-5p,MYC,4
hsa-let-7g-5p,NDUFA4P1,2
hsa-let-7g-5p,SMAD2,3
hsa-let-7g-5p,TBC1D9,2
hsa-let-7g-5p,TGFBR1,3
hsa-let-7g-5p,THBS1,4
hsa-let-7g-5p,TNFRSF10B,2
hsa-let-7i-3p,MXRA7,2
hsa-let-7i-5p,ASCL1,3
hsa-let-7i-5p,BMP4,3
hsa-let-7i-5p,EIF2C1,3
hsa-let-7i-5p,EIF4G2,2
hsa-let-7i-5p,IGF1,2
hsa-let-7i-5p,IL13,2
hsa-let-7i-5p,NDUFA4P1,2
hsa-let-7i-5p,NEUROG1,3
hsa-let-7i-5p,SOCS1,2
hsa-let-7i-5p,TLR4,4
hsa-miR-100-3p,ABCB5,2
hsa-miR-100-5p,AKT1,4
hsa-miR-100-5p,ATM,3
hsa-miR-100-5p,BMPR2,3
hsa-miR-100-5p,CTDSPL,3
hsa-miR-100-5p,CYR61,3
hsa-miR-100-5p,EGR2,3
hsa-miR-100-5p,FGFR3,5
hsa-miR-100-5p,FKBP5,3
hsa-miR-100-5p,GRHL1,2
hsa-miR-100-5p,HOXA1,5
hsa-miR-100-5p,HS3ST2,3
hsa-miR-100-5p,ID1,3
hsa-miR-100-5p,IGF1R,4
hsa-miR-100-5p,IGF2,3
hsa-miR-100-5p,KBTBD8,2
hsa-miR-100-5p,MMP13,4
hsa-miR-100-5p,MTOR,4
hsa-miR-100-5p,NCOR2,2
hsa-miR-100-5p,PLK1,4
hsa-miR-100-5p,PPP1CB,2
hsa-miR-100-5p,RAP1B,3
hsa-miR-100-5p,SMARCA5,3
hsa-miR-100-5p,THAP2,2
hsa-miR-100-5p,ZBTB7A,3
hsa-miR-100-5p,ZNF215,2
hsa-miR-101-3p,APP,5
hsa-miR-101-3p,ARID1A,3
hsa-miR-101-3p,ATG4D,4
hsa-miR-101-3p,ATM,3
hsa-miR-101-3p,ATP5B,4
hsa-miR-101-3p,ATXN1,5
hsa-miR-101-3p,CDH5,2
hsa-miR-101-3p,CFTR,2
hsa-miR-101-3p,COX2,4
hsa-miR-101-3p,CPEB1,4
hsa-miR-101-3p,DNMT3A,3
hsa-miR-101-3p,DUSP1,3
hsa-miR-101-3p,EED,2
hsa-miR-101-3p,EZH2,5
hsa-miR-101-3p,FBN2,2
hsa-miR-101-3p,FOS,4
hsa-miR-101-3p,JAK2,3
hsa-miR-101-3p,KLF6,3
hsa-miR-101-3p,MCL1,5
hsa-miR-101-3p,MET,2
hsa-miR-101-3p,MITF,3
hsa-miR-101-3p,MTOR,3
hsa-miR-101-3p,MYCN,4
hsa-miR-101-3p,PIM1,2
hsa-miR-101-3p,PRDM1,3
hsa-miR-101-3p,PTGER4,3
hsa-miR-101-3p,PTGS2,4
hsa-miR-101-3p,RAB5A,5
hsa-miR-101-3p,RAP1B,3
hsa-miR-101-3p,SOX9,3
hsa-miR-101-3p,STMN1,4
hsa-miR-101-3p,SUZ12,2
hsa-miR-101-3p,TGFBR1,2
hsa-miR-101-3p,VEGFA,3
hsa-miR-101-3p,VEGFC,3
hsa-miR-101-3p,ZEB1,2
hsa-miR-101-3p,ZEB2,2
hsa-miR-101-3p,ZNF480,2
hsa-miR-101-5p,ATM,3
hsa-miR-101-5p,MTPAP,2
hsa-miR-101-5p,PRKDC,2
hsa-miR-103a-2-5p,CD274,2
hsa-miR-103a-3p,AGO1,3
hsa-miR-103a-3p,CAV1,4
hsa-miR-103a-3p,CCNE1,3
hsa-miR-103a-3p,CDK2,3
hsa-miR-103a-3p,CREB1,3
hsa-miR-103a-3p,CYP2C8,2
hsa-miR-103a-3p,DAPK1,2
hsa-miR-103a-3p,DICER1,4
hsa-miR-103a-3p,ERN1,2
hsa-miR-103a-3p,GPRC5A,4
hsa-miR-103a-3p,ID2,2
hsa-miR-103a-3p,KLF4,2
hsa-miR-103a-3p,MEF2D,3
hsa-miR-103a-3p,MYB,3
hsa-miR-103a-3p,PTEN,2
hsa-miR-103a-3p,RAD51,2
hsa-miR-103a-3p,SERPINB5,4
hsa-miR-103a-3p,SNCG,3
hsa-miR-103b,SPG20,2
hsa-miR-105-3p,UHMK1,2
hsa-miR-105-5p,AKT1,2
hsa-miR-105-5p,CDK6,3
hsa-miR-105-5p,IRS1,2
hsa-miR-105-5p,MYB,3
hsa-miR-105-5p,PDK1,2
hsa-miR-105-5p,TJP1,4
hsa-miR-105-5p,TLR2,4
hsa-miR-105-5p,TOM1L2,2
hsa-miR-106a-3p,FKBP1A,2
hsa-miR-106a-5p,APC,3
hsa-miR-106a-5p,APP,4
hsa-miR-106a-5p,ARID4B,5
hsa-miR-106a-5p,ATM,3
hsa-miR-106a-5p,BCL10,2
hsa-miR-106a-5p,BMP2,4
hsa-miR-106a-5p,CASP7,2
hsa-miR-106a-5p,CCND1,3
hsa-miR-106a-5p,CDKN1A,5
hsa-miR-106a-5p,E2F1,5
hsa-miR-106a-5p,FASTK,4
hsa-miR-106a-5p,Hif1a,3
hsa-miR-106a-5p,HIPK3,3
hsa-miR-106a-5p,IL10,3
hsa-miR-106a-5p,LIMK1,2
hsa-miR-106a-5p,MAPK9,2
hsa-miR-106a-5p,MFN2,2
hsa-miR-106a-5p,MYLIP,5
hsa-miR-106a-5p,PFKFB2,2
hsa-miR-106a-5p,PTEN,4
hsa-miR-106a-5p,RB1,6
hsa-miR-106a-5p,RUNX1,4
hsa-miR-106a-5p,RUNX3,4
hsa-miR-106a-5p,SLC2A3,3
hsa-miR-106a-5p,STAT3,3
hsa-miR-106a-5p,TGFBR2,3
hsa-miR-106a-5p,TIMP2,3
hsa-miR-106a-5p,VEGFA,3
hsa-miR-106b-3p,ELF2,2
hsa-miR-106b-5p,AGO1,2
hsa-miR-106b-5p,AKAP11,2
hsa-miR-106b-5p,APC,3
hsa-miR-106b-5p,APP,3
hsa-miR-106b-5p,ATAD2,2
hsa-miR-106b-5p,ATG16L1,3
hsa-miR-106b-5p,BCL2L11,4
hsa-miR-106b-5p,BRMS1L,2
hsa-miR-106b-5p,BTG3,2
hsa-miR-106b-5p,BTN3A3,2
hsa-miR-106b-5p,C9orf40,2
hsa-miR-106b-5p,CASP7,4
hsa-miR-106b-5p,CCND1,2
hsa-miR-106b-5p,CDKN1A,6
hsa-miR-106b-5p,CLOCK,2
hsa-miR-106b-5p,CROT,2
hsa-miR-106b-5p,DAB2,3
hsa-miR-106b-5p,DNAJB6,2
hsa-miR-106b-5p,E2F1,6
hsa-miR-106b-5p,E2F3,2
hsa-miR-106b-5p,E2F5,3
hsa-miR-106b-5p,EFCAB14,2
hsa-miR-106b-5p,EIF5A2,2
hsa-miR-106b-5p,FAM129A,4
hsa-miR-106b-5p,FYN,2
hsa-miR-106b-5p,Hif1a,4
hsa-miR-106b-5p,HMGB3,2
hsa-miR-106b-5p,IFNAR2,2
hsa-miR-106b-5p,ITCH,5
hsa-miR-106b-5p,JAK1,5
hsa-miR-106b-5p,KAT2B,4
hsa-miR-106b-5p,KATNAL1,2
hsa-miR-106b-5p,KIF23,2
hsa-miR-106b-5p,MFN2,3
hsa-miR-106b-5p,MXI1,2
hsa-miR-106b-5p,NAGK,2
hsa-miR-106b-5p,OSTM1,2
hsa-miR-106b-5p,PFKFB2,2
hsa-miR-106b-5p,PLS1,2
hsa-miR-106b-5p,PRRX1,2
hsa-miR-106b-5p,PTEN,6
hsa-miR-106b-5p,RB1,5
hsa-miR-106b-5p,RBL2,2
hsa-miR-106b-5p,RORA,2
hsa-miR-106b-5p,RUNX3,4
hsa-miR-106b-5p,SMAD7,4
hsa-miR-106b-5p,STAT3,4
hsa-miR-106b-5p,TCEAL1,4
hsa-miR-106b-5p,TMEM245,2
hsa-miR-106b-5p,TWIST1,3
hsa-miR-106b-5p,VEGFA,2
hsa-miR-106b-5p,WEE1,2
hsa-miR-106b-5p,ZBTB4,4
hsa-miR-107,AGO1,4
hsa-miR-107,AGO2,2
hsa-miR-107,AGO3,2
hsa-miR-107,ARNT,4
hsa-miR-107,AXIN2,2
hsa-miR-107,BACE1,4
hsa-miR-107,CAV1,4
hsa-miR-107,CCNE1,3
hsa-miR-107,CDCA4,3
hsa-miR-107,CDK6,6
hsa-miR-107,CDK8,3
hsa-miR-107,CRKL,4
hsa-miR-107,CYP2C8,2
hsa-miR-107,DAPK1,2
hsa-miR-107,DICER1,5
hsa-miR-107,ERN1,2
hsa-miR-107,FBXW7,4
hsa-miR-107,FOXO1,3
hsa-miR-107,GRN,4
hsa-miR-107,Hif1a,4
hsa-miR-107,IL6,3
hsa-miR-107,JAK1,3
hsa-miR-107,KLF4,2
hsa-miR-107,LATS2,3
hsa-miR-107,MYB,3
hsa-miR-107,NFIA,5
hsa-miR-107,NOTCH2,3
hsa-miR-107,PLAG1,2
hsa-miR-107,PRKCE,3
hsa-miR-107,RAB1B,3
hsa-miR-107,SALL4,3
hsa-miR-107,SERPINB5,4
hsa-miR-107,SNCG,3
hsa-miR-107,VEGFA,2
hsa-miR-10a-3p,HBS1L,2
hsa-miR-10a-5p,ACTG1,3
hsa-miR-10a-5p,BCL2L11,2
hsa-miR-10a-5p,BTRC,5
hsa-miR-10a-5p,CNST,2
hsa-miR-10a-5p,EPHA4,4
hsa-miR-10a-5p,GP1BA,2
hsa-miR-10a-5p,HOXA1,4
hsa-miR-10a-5p,MAP3K7,5
hsa-miR-10a-5p,NCOR2,3
hsa-miR-10a-5p,PIK3CG,3
hsa-miR-10a-5p,PTEN,2
hsa-miR-10a-5p,RAP2A,2
hsa-miR-10a-5p,SERPINE1,3
hsa-miR-10a-5p,SFRP1,2
hsa-miR-10a-5p,TIAM1,2
hsa-miR-10a-5p,TRA2B,2
hsa-miR-10a-5p,USF2,4
hsa-miR-10a-5p,ZFAND5,2
hsa-miR-10b-3p,BTD,2
hsa-miR-10b-3p,BUB1,4
hsa-miR-10b-3p,CCNA2,4
hsa-miR-10b-3p,PLK1,4
hsa-miR-10b-5p,BCL2L11,3
hsa-miR-10b-5p,CDKN1A,2
hsa-miR-10b-5p,CDKN2A,3
hsa-miR-10b-5p,GP1BA,2
hsa-miR-10b-5p,HOXD10,4
hsa-miR-10b-5p,HTATIP2,3
hsa-miR-10b-5p,KLF4,4
hsa-miR-10b-5p,NCOR2,3
hsa-miR-10b-5p,NF1,4
hsa-miR-10b-5p,PPARA,4
hsa-miR-10b-5p,PTEN,2
hsa-miR-10b-5p,SFRP1,2
hsa-miR-10b-5p,TFAP2C,3
hsa-miR-10b-5p,TIAM1,3
hsa-miR-10b-5p,TRA2B,2
hsa-miR-1178-3p,MAPK9,2
hsa-miR-1178-5p,POP4,2
hsa-miR-1179,MYNN,2
hsa-miR-1180-3p,KANSL1,2
hsa-miR-1180-3p,TCEAL1,3
hsa-miR-1180-5p,XRRA1,2
hsa-miR-1181,NKX2-2,2
hsa-miR-1181,SOX2,3
hsa-miR-1181,STAT3,3
hsa-miR-1182,TERT,3
hsa-miR-1182,TRIM25,2
hsa-miR-1183,DEK,2
hsa-miR-1184,ERN1,2
hsa-miR-1185-1-3p,HAT1,2
hsa-miR-1185-2-3p,HAT1,2
hsa-miR-1185-5p,KDM6A,2
hsa-miR-1193,GAGE1,2
hsa-miR-1197,ZNF391,2
hsa-miR-1199-3p,TXNDC5,2
hsa-miR-1199-5p,OAS2,2
hsa-miR-1200,P2RX7,2
hsa-miR-1202,C9orf170,2
hsa-miR-1202,GRM4,2
hsa-miR-1203,CNNM4,2
hsa-miR-1204,SGPL1,2
hsa-miR-1205,HSD17B12,2
hsa-miR-1206,TBX18,2
hsa-miR-1207-3p,SETD9,2
hsa-miR-1207-5p,APCDD1,2
hsa-miR-1207-5p,TERT,4
hsa-miR-1208,OSMR,2
hsa-miR-122-3p,PFAS,2
hsa-miR-1224-3p,L2HGDH,2
hsa-miR-1224-5p,METTL12,2
hsa-miR-1225-3p,FCER1G,2
hsa-miR-1225-3p,IFI6,2
hsa-miR-1225-3p,MT1X,2
hsa-miR-1225-3p,PTPN6,2
hsa-miR-1225-3p,RAP2A,2
hsa-miR-1225-3p,TMEM251,2
hsa-miR-1225-5p,CDR1,2
hsa-miR-1225-5p,IRS1,4
hsa-miR-122-5p,AACS,3
hsa-miR-122-5p,ADAM10,4
hsa-miR-122-5p,ADAM17,3
hsa-miR-122-5p,AKT3,3
hsa-miR-122-5p,ALDOA,3
hsa-miR-122-5p,ANK2,3
hsa-miR-122-5p,ANKRD9,2
hsa-miR-122-5p,ANXA11,4
hsa-miR-122-5p,AP3M2,3
hsa-miR-122-5p,ATP1A2,3
hsa-miR-122-5p,BAX,2
hsa-miR-122-5p,BCL2L1,2
hsa-miR-122-5p,BCL2L2,4
hsa-miR-122-5p,CCNG1,4
hsa-miR-122-5p,CDK4,2
hsa-miR-122-5p,CLIC4,4
hsa-miR-122-5p,CS,2
hsa-miR-122-5p,CYP3A5,2
hsa-miR-122-5p,CYP7A1,3
hsa-miR-122-5p,DSTYK,3
hsa-miR-122-5p,DUSP2,3
hsa-miR-122-5p,EGLN3,3
hsa-miR-122-5p,ENTPD4,3
hsa-miR-122-5p,FAM117B,3
hsa-miR-122-5p,FOXJ3,3
hsa-miR-122-5p,FOXK2,2
hsa-miR-122-5p,FOXP1,3
hsa-miR-122-5p,FUNDC2,3
hsa-miR-122-5p,FUT8,3
hsa-miR-122-5p,G6PC3,4
hsa-miR-122-5p,GALNT10,4
hsa-miR-122-5p,GTF2B,2
hsa-miR-122-5p,GYS1,4
hsa-miR-122-5p,HMOX1,3
hsa-miR-122-5p,IDS,2
hsa-miR-122-5p,IGF1R,4
hsa-miR-122-5p,LMNB2,2
hsa-miR-122-5p,MAPK11,3
hsa-miR-122-5p,MECP2,3
hsa-miR-122-5p,MYCBP,2
hsa-miR-122-5p,NCAM1,4
hsa-miR-122-5p,NFATC2IP,3
hsa-miR-122-5p,NOD2,3
hsa-miR-122-5p,NUMBL,3
hsa-miR-122-5p,PKM,5
hsa-miR-122-5p,PRKAB1,2
hsa-miR-122-5p,PRKRA,4
hsa-miR-122-5p,RAB11FIP1,4
hsa-miR-122-5p,RAB6B,3
hsa-miR-122-5p,RAC1,5
hsa-miR-122-5p,RHOA,2
hsa-miR-122-5p,RNF170,2
hsa-miR-122-5p,SLC7A1,4
hsa-miR-122-5p,SLC7A11,3
hsa-miR-122-5p,SLC9A1,2
hsa-miR-122-5p,SRF,4
hsa-miR-122-5p,TBX19,3
hsa-miR-122-5p,TOB2,2
hsa-miR-122-5p,TPD52L2,4
hsa-miR-122-5p,TRIB1,3
hsa-miR-122-5p,UBAP2,3
hsa-miR-122-5p,WNT1,3
hsa-miR-122-5p,XPO6,3
hsa-miR-1226-3p,ABLIM1,2
hsa-miR-1226-3p,MUC1,3
hsa-miR-1226-5p,GATSL2,2
hsa-miR-1227-3p,NDUFA4P1,2
